Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	exo_control_1 Spectral Count	exo_control_2 Spectral Count	exo_control_3 Spectral Count	exo_hyb_1 Spectral Count	exo_hyb_2 Spectral Count	exo_hyb_3 Spectral Count	exo_control_1 Unique Spectral Count	exo_control_2 Unique Spectral Count	exo_control_3 Unique Spectral Count	exo_hyb_1 Unique Spectral Count	exo_hyb_2 Unique Spectral Count	exo_hyb_3 Unique Spectral Count	exo_control_1 Total Spectral Count	exo_control_2 Total Spectral Count	exo_control_3 Total Spectral Count	exo_hyb_1 Total Spectral Count	exo_hyb_2 Total Spectral Count	exo_hyb_3 Total Spectral Count	exo_control_1 Intensity	exo_control_2 Intensity	exo_control_3 Intensity	exo_hyb_1 Intensity	exo_hyb_2 Intensity	exo_hyb_3 Intensity	exo_control_1 MaxLFQ Intensity	exo_control_2 MaxLFQ Intensity	exo_control_3 MaxLFQ Intensity	exo_hyb_1 MaxLFQ Intensity	exo_hyb_2 MaxLFQ Intensity	exo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A2AGT5-2|CKAP5_MOUSE	A2AGT5-2	CKAP5_MOUSE	Ckap5	1972	Mus musculus		Isoform 2 of Cytoskeleton-associated protein 5	1.0	0.999	11	35	0	35	4	7	6	8	4	6	0	0	0	0	0	0	4	7	6	8	4	6	238956.22	291272.34	212715.58	396450.56	204588.75	172742.22	85146.79	82535.47	87376.84	82421.94	81878.625	89231.81	sp|A2AGT5-3|CKAP5_MOUSE, sp|A2AGT5|CKAP5_MOUSE, tr|A0A0R4J0K2|A0A0R4J0K2_MOUSE, tr|K3W4R5|K3W4R5_MOUSE, tr|Z4YL78|Z4YL78_MOUSE
sp|A2AHG0-2|LZTS3_MOUSE	A2AHG0-2	LZTS3_MOUSE	Lzts3	586	Mus musculus		Isoform 2 of Leucine zipper putative tumor suppressor 3	0.9988	0.9978	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	63625.336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AHG0-3|LZTS3_MOUSE, sp|A2AHG0|LZTS3_MOUSE
sp|A2AI05-2|NDOR1_MOUSE	A2AI05-2	NDOR1_MOUSE	Ndor1	531	Mus musculus		Isoform 2 of NADPH-dependent diflavin oxidoreductase 1	0.8064	0.9966	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	45975.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AI05|NDOR1_MOUSE, tr|F6XCS1|F6XCS1_MOUSE
sp|A2AJL3-2|FGGY_MOUSE	A2AJL3-2	FGGY_MOUSE	Fggy	387	Mus musculus		Isoform 2 of FGGY carbohydrate kinase domain-containing protein	0.9187	0.9988	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	12741.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AJL3|FGGY_MOUSE
sp|A2AKG8|FOCAD_MOUSE	A2AKG8	FOCAD_MOUSE	Focad	1798	Mus musculus	1:Experimental evidence at protein level	Focadhesin	1.0	0.999	15	52	2	52	6	9	4	13	11	9	1	0	0	1	0	0	6	9	4	13	11	9	1083420.0	344311.7	584144.8	1491138.4	656182.06	264613.38	252471.75	262739.84	214777.06	283533.97	317456.7	218216.48	
sp|A2AKQ0-2|S35D1_MOUSE	A2AKQ0-2	S35D1_MOUSE	Slc35d1	306	Mus musculus		Isoform 2 of Nucleotide sugar transporter SLC35D1	0.9326	0.999	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	19776.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AKQ0|S35D1_MOUSE, tr|A0A217FL58|A0A217FL58_MOUSE
sp|A2ALS5-2|RPGP1_MOUSE	A2ALS5-2	RPGP1_MOUSE	Rap1gap	727	Mus musculus		Isoform 2 of Rap1 GTPase-activating protein 1	1.0	0.999	14	71	0	71	10	12	9	12	13	15	0	0	0	0	0	0	10	12	9	12	13	15	676701.0	1214863.1	660528.94	869378.94	814658.06	1413286.9	214439.8	252932.28	298900.62	183756.8	163379.0	286325.28	sp|A2ALS5-3|RPGP1_MOUSE, sp|A2ALS5-4|RPGP1_MOUSE, sp|A2ALS5|RPGP1_MOUSE, tr|A2ALS4|A2ALS4_MOUSE
sp|A2ALU4|SHRM2_MOUSE	A2ALU4	SHRM2_MOUSE	Shroom2	1481	Mus musculus	1:Experimental evidence at protein level	Protein Shroom2	1.0	0.999	3	4	0	4	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	44099.95	21099.53	0.0	214817.38	34091.24	0.0	116664.79	21099.53	0.0	71050.836	34091.24	0.0	tr|A7TU71|A7TU71_MOUSE
sp|A2ALW5|DJC25_MOUSE	A2ALW5	DJC25_MOUSE	Dnajc25	357	Mus musculus	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 25	1.0	0.999	4	19	0	19	3	4	4	3	1	4	0	0	0	0	0	0	3	4	4	3	1	4	88087.89	154801.34	129233.61	131650.38	26593.771	116810.766	70134.44	81312.02	70739.95	60992.887	26593.771	79356.484	
sp|A2AN08-3|UBR4_MOUSE	A2AN08-3	UBR4_MOUSE	Ubr4	5156	Mus musculus		Isoform 3 of E3 ubiquitin-protein ligase UBR4	1.0	0.999	34	161	0	161	24	28	22	32	23	32	0	0	0	0	0	0	24	28	22	32	23	32	1509258.0	1252373.0	975172.6	1489142.6	754485.06	1667878.5	299767.25	250788.5	283455.84	264243.03	251513.1	298714.8	sp|A2AN08-5|UBR4_MOUSE, sp|A2AN08|UBR4_MOUSE
sp|A2APT9|KLD7A_MOUSE	A2APT9	KLD7A_MOUSE	Klhdc7a	773	Mus musculus	1:Experimental evidence at protein level	Kelch domain-containing protein 7A	0.7792	0.996	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	6787.9473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2AQ25|SKT_MOUSE	A2AQ25	SKT_MOUSE	Skt	1946	Mus musculus	1:Experimental evidence at protein level	Sickle tail protein	1.0	0.999	8	21	0	21	4	5	0	4	3	5	0	0	0	0	0	0	4	5	0	4	3	5	153256.73	64744.53	0.0	141293.11	54047.242	133888.22	58892.023	47934.777	0.0	44163.32	18041.393	51269.8	tr|E9QAU4|E9QAU4_MOUSE
sp|A2AT37|RENT2_MOUSE	A2AT37	RENT2_MOUSE	Upf2	1269	Mus musculus	1:Experimental evidence at protein level	Regulator of nonsense transcripts 2	1.0	0.999	6	22	16	22	3	6	1	5	5	2	2	4	1	4	4	1	3	6	1	5	5	2	97856.67	132094.81	38579.4	146755.73	172431.47	51192.445	40556.895	36600.48	50127.17	42358.203	50379.5	32343.64	
sp|A2ATU0|DHTK1_MOUSE	A2ATU0	DHTK1_MOUSE	Dhtkd1	921	Mus musculus	1:Experimental evidence at protein level	2-oxoadipate dehydrogenase complex component E1	1.0	0.999	6	28	28	28	3	6	5	3	4	7	3	6	5	3	4	7	3	6	5	3	4	7	111959.47	263291.97	235144.1	139110.47	147236.77	304181.84	73225.11	123374.97	112003.63	81806.74	91226.06	107548.26	
sp|A2AWA9-2|RBGP1_MOUSE	A2AWA9-2	RBGP1_MOUSE	Rabgap1	809	Mus musculus		Isoform 2 of Rab GTPase-activating protein 1	1.0	0.999	4	11	0	11	2	1	1	3	2	2	0	0	0	0	0	0	2	1	1	3	2	2	146105.97	53963.754	53205.21	169456.56	206863.28	64061.93	176439.97	65167.516	64251.484	55895.664	105267.59	57744.094	sp|A2AWA9|RBGP1_MOUSE, tr|A2AWA7|A2AWA7_MOUSE
sp|A2AWP8-2|ARGAL_MOUSE	A2AWP8-2	ARGAL_MOUSE	Arhgef10l	1241	Mus musculus		Isoform 2 of Rho guanine nucleotide exchange factor 10-like protein	1.0	0.999	6	16	0	16	2	4	3	0	1	6	0	0	0	0	0	0	2	4	3	0	1	6	95040.93	105858.12	55826.72	46777.82	37258.914	116623.17	41969.133	38969.45	36462.24	46777.82	37258.914	56409.996	sp|A2AWP8-3|ARGAL_MOUSE, sp|A2AWP8-4|ARGAL_MOUSE, sp|A2AWP8-5|ARGAL_MOUSE, sp|A2AWP8|ARGAL_MOUSE, tr|A2AWP6|A2AWP6_MOUSE
sp|A2BDX3|MOCS3_MOUSE	A2BDX3	MOCS3_MOUSE	Mocs3	460	Mus musculus	1:Experimental evidence at protein level	Adenylyltransferase and sulfurtransferase MOCS3	1.0	0.999	5	15	15	15	1	3	3	3	1	4	1	3	3	3	1	4	1	3	3	3	1	4	75736.6	149208.2	136035.88	154085.97	66045.13	158313.0	73688.64	60579.32	74406.27	65861.66	64259.234	61803.934	
sp|A2BE28-2|LAS1L_MOUSE	A2BE28-2	LAS1L_MOUSE	Las1l	759	Mus musculus		Isoform 2 of Ribosomal biogenesis protein LAS1L	0.9986	0.999	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	28381.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2BE28|LAS1L_MOUSE
sp|A2BH40-3|ARI1A_MOUSE	A2BH40-3	ARI1A_MOUSE	Arid1a	2066	Mus musculus		Isoform 3 of AT-rich interactive domain-containing protein 1A	1.0	0.999	4	8	0	8	2	0	1	2	0	3	0	0	0	0	0	0	2	0	1	2	0	3	34727.375	0.0	33974.12	36428.188	0.0	48747.375	28012.303	0.0	37614.426	25550.441	0.0	39898.11	sp|A2BH40|ARI1A_MOUSE, tr|E9QAQ7|E9QAQ7_MOUSE
sp|A2RSY6-2|TRM1L_MOUSE	A2RSY6-2	TRM1L_MOUSE	Trmt1l	671	Mus musculus		Isoform 2 of TRMT1-like protein	0.9285	0.9989	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46670.965	0.0	0.0	17126.838	0.0	0.0	46670.965	0.0	0.0	17126.838	0.0	0.0	sp|A2RSY6|TRM1L_MOUSE, tr|A0A0R4J0U8|A0A0R4J0U8_MOUSE
sp|A3KGB4|TBC8B_MOUSE	A3KGB4	TBC8B_MOUSE	Tbc1d8b	1114	Mus musculus	1:Experimental evidence at protein level	TBC1 domain family member 8B	1.0	0.999	9	23	23	23	3	7	3	4	2	4	3	7	3	4	2	4	3	7	3	4	2	4	297035.72	657080.6	100288.78	443947.7	341362.75	450350.25	186544.5	287623.16	257027.92	245274.17	227661.03	260584.2	
sp|A3KGS3-2|RGPA2_MOUSE	A3KGS3-2	RGPA2_MOUSE	Ralgapa2	1807	Mus musculus		Isoform 2 of Ral GTPase-activating protein subunit alpha-2	1.0	0.9988	5	4	0	8	0	2	1	0	1	0	0	0	0	0	0	0	1	2	2	1	2	0	0.0	17791.758	37230.438	0.0	28179.977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A3KGS3|RGPA2_MOUSE, tr|A0A0A0MQD7|A0A0A0MQD7_MOUSE, tr|A0A2I3BPN8|A0A2I3BPN8_MOUSE
sp|A3KMP2|TTC38_MOUSE	A3KMP2	TTC38_MOUSE	Ttc38	465	Mus musculus	1:Experimental evidence at protein level	Tetratricopeptide repeat protein 38	1.0	0.999	19	82	26	82	13	14	13	17	14	11	5	4	4	6	4	3	13	14	13	17	14	11	1155249.1	796185.7	918789.8	1554491.4	1450813.2	738128.75	452517.7	353764.0	370503.62	505384.44	427098.06	333223.1	
sp|A6H5Z3|EXC6B_MOUSE	A6H5Z3	EXC6B_MOUSE	Exoc6b	810	Mus musculus	1:Experimental evidence at protein level	Exocyst complex component 6B	0.9996	0.9989	2	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	35381.215	43870.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6H630-2|ARMT1_MOUSE	A6H630-2	ARMT1_MOUSE	Armt1	208	Mus musculus		Isoform 2 of Damage-control phosphatase ARMT1	0.8334	0.9972	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6629.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A6H630-4|ARMT1_MOUSE, sp|A6H630|ARMT1_MOUSE, tr|D6RG65|D6RG65_MOUSE
sp|A6H8H2-2|DEN4C_MOUSE	A6H8H2-2	DEN4C_MOUSE	Dennd4c	1955	Mus musculus		Isoform 2 of DENN domain-containing protein 4C	0.9979	0.998	2	5	0	5	0	1	1	1	0	2	0	0	0	0	0	0	0	1	1	1	0	2	0.0	42080.88	38952.207	19114.049	0.0	84065.36	0.0	43178.19	39967.934	19612.473	0.0	40910.4	sp|A6H8H2|DEN4C_MOUSE, tr|E9Q449|E9Q449_MOUSE
sp|A6X935|ITIH4_MOUSE	A6X935	ITIH4_MOUSE	Itih4	942	Mus musculus	1:Experimental evidence at protein level	Inter alpha-trypsin inhibitor, heavy chain 4	1.0	0.999	5	8	0	8	3	0	0	2	2	1	0	0	0	0	0	0	3	0	0	2	2	1	85862.266	0.0	0.0	68112.58	7231.451	36158.477	46738.062	0.0	0.0	15045.311	6206.093	71727.055	tr|E9PVD2|E9PVD2_MOUSE, tr|E9Q5L2|E9Q5L2_MOUSE
sp|A8C756|THADA_MOUSE	A8C756	THADA_MOUSE	Thada	1938	Mus musculus	1:Experimental evidence at protein level	Thyroid adenoma-associated protein homolog	0.9981	0.9982	2	6	0	6	0	2	1	2	1	0	0	0	0	0	0	0	0	2	1	2	1	0	0.0	45463.4	23415.12	150575.39	11050.271	0.0	0.0	79365.74	40875.92	25552.6	19290.53	0.0	
sp|A9JSM3|TM238_MOUSE	A9JSM3	TM238_MOUSE	Tmem238	176	Mus musculus	2:Experimental evidence at transcript level	Transmembrane protein 238	0.9992	0.9984	2	5	5	5	1	0	1	2	1	0	1	0	1	2	1	0	1	0	1	2	1	0	50840.664	0.0	25276.105	66945.64	42445.348	0.0	50840.664	0.0	0.0	66945.64	42445.348	0.0	
sp|B1AY10|NFX1_MOUSE	B1AY10	NFX1_MOUSE	Nfx1	1114	Mus musculus	1:Experimental evidence at protein level	Transcriptional repressor NF-X1	1.0	0.999	5	23	12	23	4	5	1	6	4	3	3	3	0	3	1	2	4	5	1	6	4	3	197516.38	173419.98	34990.598	191563.88	174649.53	123248.09	79429.17	65594.484	62059.3	78802.54	64286.824	59020.766	
sp|B1AY13|UBP24_MOUSE	B1AY13	UBP24_MOUSE	Usp24	2617	Mus musculus	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 24	1.0	0.999	5	8	0	8	0	3	1	0	1	3	0	0	0	0	0	0	0	3	1	0	1	3	0.0	38439.312	10288.315	14552.791	18474.984	56639.656	0.0	12628.816	41289.547	14552.791	18474.984	17237.732	tr|E9PV45|E9PV45_MOUSE
sp|B1AZ99|OTUD3_MOUSE	B1AZ99	OTUD3_MOUSE	Otud3	396	Mus musculus	1:Experimental evidence at protein level	OTU domain-containing protein 3	0.9334	0.999	1	2	2	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	20456.168	0.0	0.0	14070.4	31644.799	0.0	20456.168	0.0	0.0	14070.4	31644.799	0.0	
sp|B1AZA5|TM245_MOUSE	B1AZA5	TM245_MOUSE	Tmem245	876	Mus musculus	1:Experimental evidence at protein level	Transmembrane protein 245	0.9334	0.999	1	3	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0.0	55981.242	0.0	58494.14	57648.65	0.0	0.0	55981.242	0.0	58494.14	57648.65	0.0	tr|B1AZA8|B1AZA8_MOUSE, tr|D3YWD3|D3YWD3_MOUSE
sp|B1AZI6|THOC2_MOUSE	B1AZI6	THOC2_MOUSE	Thoc2	1594	Mus musculus	1:Experimental evidence at protein level	THO complex subunit 2	1.0	0.999	3	11	11	11	1	2	2	1	3	2	1	2	2	1	3	2	1	2	2	1	3	2	19649.365	49976.414	92726.125	51892.926	67641.55	17630.104	33941.87	31962.473	39303.3	32031.635	30546.062	30453.844	
sp|B2RQC6|PYR1_MOUSE	B2RQC6	PYR1_MOUSE	Cad	2225	Mus musculus	1:Experimental evidence at protein level	CAD protein	1.0	0.999	49	353	0	353	62	42	53	67	58	71	0	0	0	0	0	0	62	42	53	67	58	71	5300427.5	3064913.8	3825302.2	5756705.5	4811650.5	5896129.0	451671.66	329340.78	393089.03	443141.6	360596.44	512933.0	tr|E9QAI5|E9QAI5_MOUSE
sp|B2RSH2|GNAI1_MOUSE	B2RSH2	GNAI1_MOUSE	Gnai1	354	Mus musculus	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(i) subunit alpha-1	1.0	0.999	9	54	35	130	13	9	10	6	7	9	10	5	6	3	5	6	23	20	26	19	16	26	573507.7	561643.5	617018.56	615856.44	477094.9	472979.88	243793.06	275778.16	244315.0	322194.1	253826.97	253025.12	
sp|B2RXC1|TPC11_MOUSE	B2RXC1	TPC11_MOUSE	Trappc11	1133	Mus musculus	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 11	0.9999	0.9982	2	4	4	4	2	2	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	23449.043	150702.22	0.0	15173.926	0.0	0.0	36432.234	49289.535	0.0	23575.375	0.0	0.0	
sp|B2RXS4|PLXB2_MOUSE	B2RXS4	PLXB2_MOUSE	Plxnb2	1842	Mus musculus	1:Experimental evidence at protein level	Plexin-B2	0.9135	0.9987	1	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	0.0	0.0	40386.61	0.0	32982.375	0.0	0.0	0.0	40386.61	0.0	32982.375	
sp|B2RY04|DOCK5_MOUSE	B2RY04	DOCK5_MOUSE	Dock5	1868	Mus musculus	1:Experimental evidence at protein level	Dedicator of cytokinesis protein 5	1.0	0.999	3	8	8	8	0	4	2	2	0	0	0	4	2	2	0	0	0	4	2	2	0	0	0.0	52799.67	65062.77	48117.28	0.0	0.0	0.0	26547.111	33441.703	25992.96	0.0	0.0	
sp|B2RY56|RBM25_MOUSE	B2RY56	RBM25_MOUSE	Rbm25	838	Mus musculus	1:Experimental evidence at protein level	RNA-binding protein 25	1.0	0.999	8	21	1	21	4	2	2	2	3	8	1	0	0	0	0	0	4	2	2	2	3	8	108307.875	68502.19	43454.375	88012.06	77076.65	161763.2	43114.39	45656.734	57168.656	34628.58	34393.562	48100.547	
sp|B7ZMP1|XPP3_MOUSE	B7ZMP1	XPP3_MOUSE	Xpnpep3	506	Mus musculus	1:Experimental evidence at protein level	Xaa-Pro aminopeptidase 3	1.0	0.999	4	22	14	22	4	6	2	1	7	2	3	3	2	1	3	2	4	6	2	1	7	2	146908.16	223952.92	37169.535	133216.25	230056.78	104798.45	57602.55	67403.03	80453.016	50962.184	58446.953	70537.36	
sp|B9EJ80|PDZD8_MOUSE	B9EJ80	PDZD8_MOUSE	Pdzd8	1147	Mus musculus	1:Experimental evidence at protein level	PDZ domain-containing protein 8	1.0	0.9989	2	4	4	4	1	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	3	11446.553	0.0	0.0	0.0	0.0	21317.46	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B9EJ86|OSBL8_MOUSE	B9EJ86	OSBL8_MOUSE	Osbpl8	889	Mus musculus	1:Experimental evidence at protein level	Oxysterol-binding protein-related protein 8	1.0	0.999	5	20	0	20	5	4	2	3	2	4	0	0	0	0	0	0	5	4	2	3	2	4	168850.0	176576.28	164392.94	159676.28	101782.14	142364.62	82658.086	96289.13	102902.055	74075.29	66529.28	91462.79	tr|A0A0R4J150|A0A0R4J150_MOUSE
sp|B9EKI3|TMF1_MOUSE	B9EKI3	TMF1_MOUSE	Tmf1	1091	Mus musculus	1:Experimental evidence at protein level	TATA element modulatory factor	1.0	0.999	7	14	9	14	1	4	0	5	1	3	1	3	0	3	0	2	1	4	0	5	1	3	17860.594	99659.3	0.0	101117.97	23508.648	142145.33	25207.395	40643.23	0.0	36612.414	27124.268	42814.527	
sp|D3YXK2|SAFB1_MOUSE	D3YXK2	SAFB1_MOUSE	Safb	937	Mus musculus	1:Experimental evidence at protein level	Scaffold attachment factor B1	1.0	0.999	6	28	0	28	4	6	5	4	5	4	0	0	0	0	0	0	4	6	5	4	5	4	216236.94	289801.53	221926.19	162362.5	142359.62	197880.33	82010.96	76021.34	86582.15	80133.34	60426.66	94953.31	tr|S4R1M2|S4R1M2_MOUSE
sp|D3YZP9|CCDC6_MOUSE	D3YZP9	CCDC6_MOUSE	Ccdc6	469	Mus musculus	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 6	1.0	0.999	3	8	8	8	4	1	0	1	0	2	4	1	0	1	0	2	4	1	0	1	0	2	40163.95	43317.42	0.0	47729.406	0.0	67266.42	35899.867	43317.42	0.0	29715.04	0.0	39548.31	
