Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	endo_control_1 Spectral Count	endo_control_2 Spectral Count	endo_control_3 Spectral Count	endo_hyb_1 Spectral Count	endo_hyb_2 Spectral Count	endo_hyb_3 Spectral Count	endo_control_1 Unique Spectral Count	endo_control_2 Unique Spectral Count	endo_control_3 Unique Spectral Count	endo_hyb_1 Unique Spectral Count	endo_hyb_2 Unique Spectral Count	endo_hyb_3 Unique Spectral Count	endo_control_1 Total Spectral Count	endo_control_2 Total Spectral Count	endo_control_3 Total Spectral Count	endo_hyb_1 Total Spectral Count	endo_hyb_2 Total Spectral Count	endo_hyb_3 Total Spectral Count	endo_control_1 Intensity	endo_control_2 Intensity	endo_control_3 Intensity	endo_hyb_1 Intensity	endo_hyb_2 Intensity	endo_hyb_3 Intensity	endo_control_1 MaxLFQ Intensity	endo_control_2 MaxLFQ Intensity	endo_control_3 MaxLFQ Intensity	endo_hyb_1 MaxLFQ Intensity	endo_hyb_2 MaxLFQ Intensity	endo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A2A8Z1-2|OSBL9_MOUSE	A2A8Z1-2	OSBL9_MOUSE	Osbpl9	639	Mus musculus		Isoform 2 of Oxysterol-binding protein-related protein 9	1.0	0.999	3	7	0	7	1	2	0	2	2	0	0	0	0	0	0	0	1	2	0	2	2	0	73477.16	54711.844	0.0	83875.164	70056.97	0.0	63278.07	36559.793	0.0	77261.33	62473.812	0.0	tr|Q5FWX7|Q5FWX7_MOUSE
sp|A2A9C3|SZT2_MOUSE	A2A9C3	SZT2_MOUSE	Szt2	3431	Mus musculus	1:Experimental evidence at protein level	KICSTOR complex protein SZT2	1.0	0.999	4	4	1	4	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0.0	53463.367	0.0	123822.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2ACP1-2|TT39A_MOUSE	A2ACP1-2	TT39A_MOUSE	Ttc39a	576	Mus musculus		Isoform 2 of Tetratricopeptide repeat protein 39A	1.0	0.999	8	31	0	31	5	11	0	7	8	0	0	0	0	0	0	0	5	11	0	7	8	0	312966.7	472693.34	0.0	430449.2	433623.47	229831.1	89797.56	97477.47	0.0	116980.5	95295.8	109827.47	sp|A2ACP1|TT39A_MOUSE
sp|A2ADA5|PUSL1_MOUSE	A2ADA5	PUSL1_MOUSE	Pusl1	291	Mus musculus	1:Experimental evidence at protein level	tRNA pseudouridine synthase-like 1	1.0	0.9983	2	2	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	235951.77	180469.61	0.0	0.0	137012.81	0.0	235951.77	162924.78	0.0	0.0	137012.81	0.0	
sp|A2ADY9|DDI2_MOUSE	A2ADY9	DDI2_MOUSE	Ddi2	399	Mus musculus	1:Experimental evidence at protein level	Protein DDI1 homolog 2	1.0	0.999	7	57	57	57	12	12	2	13	15	3	12	12	2	13	15	3	12	12	2	13	15	3	911952.6	767804.9	178744.7	1098776.0	931489.0	960815.94	240045.8	197750.05	241869.55	277710.2	243068.45	233681.97	
sp|A2AEY4-2|MA7D3_MOUSE	A2AEY4-2	MA7D3_MOUSE	Map7d3	846	Mus musculus		Isoform 2 of MAP7 domain-containing protein 3	0.9941	0.9968	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.0	0.0	0.0	30614.771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AEY4|MA7D3_MOUSE
sp|A2AF47|DOC11_MOUSE	A2AF47	DOC11_MOUSE	Dock11	2073	Mus musculus	1:Experimental evidence at protein level	Dedicator of cytokinesis protein 11	1.0	0.999	5	9	4	9	2	3	0	3	1	0	1	2	0	1	0	0	2	3	0	3	1	0	115547.28	153558.84	0.0	190166.69	263470.3	79285.695	70289.14	62523.43	0.0	72038.625	66884.055	110862.28	
sp|A2AFS3-2|ELAP1_MOUSE	A2AFS3-2	ELAP1_MOUSE	Elapor1	911	Mus musculus		Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1	1.0	0.999	5	16	0	16	3	5	0	5	3	0	0	0	0	0	0	0	3	5	0	5	3	0	323581.25	214534.0	0.0	254430.45	230037.19	130708.03	131859.19	99749.59	0.0	121553.84	127846.97	130881.22	sp|A2AFS3-3|ELAP1_MOUSE, tr|A0A0A0MQC6|A0A0A0MQC6_MOUSE
sp|A2AG50-2|MA7D2_MOUSE	A2AG50-2	MA7D2_MOUSE	Map7d2	597	Mus musculus		Isoform 2 of MAP7 domain-containing protein 2	1.0	0.999	7	20	0	20	3	7	0	5	5	0	0	0	0	0	0	0	3	7	0	5	5	0	152252.84	154208.97	0.0	167944.77	108466.0	0.0	39711.227	45288.145	0.0	55412.723	38045.43	0.0	sp|A2AG50|MA7D2_MOUSE
sp|A2AGT5-2|CKAP5_MOUSE	A2AGT5-2	CKAP5_MOUSE	Ckap5	1972	Mus musculus		Isoform 2 of Cytoskeleton-associated protein 5	1.0	0.999	33	103	0	103	22	26	0	29	25	1	0	0	0	0	0	0	22	26	0	29	25	1	1438965.2	1404585.4	0.0	1250681.8	1270330.2	389617.06	120120.31	117335.984	0.0	124701.23	108485.25	99850.05	sp|A2AGT5-3|CKAP5_MOUSE, sp|A2AGT5|CKAP5_MOUSE, tr|A0A0R4J0K2|A0A0R4J0K2_MOUSE, tr|K3W4R5|K3W4R5_MOUSE, tr|Z4YL78|Z4YL78_MOUSE
sp|A2AHC3-2|CAMP1_MOUSE	A2AHC3-2	CAMP1_MOUSE	Camsap1	1082	Mus musculus		Isoform 2 of Calmodulin-regulated spectrin-associated protein 1	1.0	0.999	2	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0.0	76381.47	0.0	23382.848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AHC3|CAMP1_MOUSE, tr|A0A0A0MQE5|A0A0A0MQE5_MOUSE, tr|A2AHC4|A2AHC4_MOUSE
sp|A2AIL4|NDUF6_MOUSE	A2AIL4	NDUF6_MOUSE	Ndufaf6	333	Mus musculus	1:Experimental evidence at protein level	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	1.0	0.999	2	3	3	3	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	22469.84	25556.555	0.0	0.0	22554.484	0.0	31425.424	9568.36	0.0	0.0	31543.807	0.0	
sp|A2AIV2|VIR_MOUSE	A2AIV2	VIR_MOUSE	Virma	1811	Mus musculus	1:Experimental evidence at protein level	Protein virilizer homolog	1.0	0.999	7	11	0	11	1	4	0	4	1	1	0	0	0	0	0	0	1	4	0	4	1	1	5880211.5	3466395.2	0.0	96476.23	4968099.0	1323035.0	2077626.5	1591161.4	0.0	2967326.0	1989150.5	544328.94	tr|E9PZY8|E9PZY8_MOUSE
sp|A2AJ15|MA1B1_MOUSE	A2AJ15	MA1B1_MOUSE	Man1b1	658	Mus musculus	1:Experimental evidence at protein level	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1.0	0.999	5	8	7	8	1	2	0	3	2	0	1	1	0	3	2	0	1	2	0	3	2	0	465646.6	37293.98	0.0	98030.26	157452.6	0.0	113379.7	51421.992	0.0	73393.92	96225.555	0.0	
sp|A2AJI0|MA7D1_MOUSE	A2AJI0	MA7D1_MOUSE	Map7d1	846	Mus musculus	1:Experimental evidence at protein level	MAP7 domain-containing protein 1	1.0	0.999	8	11	0	15	3	3	0	2	3	0	0	0	0	0	0	0	4	4	0	4	3	0	273413.06	150737.31	0.0	130348.53	252265.52	123066.57	107495.47	91582.63	0.0	104187.95	85943.08	123066.57	tr|A8Y5P4|A8Y5P4_MOUSE
sp|A2AKB9-3|DCA10_MOUSE	A2AKB9-3	DCA10_MOUSE	Dcaf10	258	Mus musculus		Isoform 3 of DDB1- and CUL4-associated factor 10	0.9052	0.9983	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	3742.921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2AKB9|DCA10_MOUSE
sp|A2AKG8|FOCAD_MOUSE	A2AKG8	FOCAD_MOUSE	Focad	1798	Mus musculus	1:Experimental evidence at protein level	Focadhesin	1.0	0.999	11	20	0	20	3	5	0	7	5	0	0	0	0	0	0	0	3	5	0	7	5	0	231325.08	133317.11	0.0	310226.12	206515.58	37938.36	53356.906	47635.023	0.0	67202.78	51870.438	61838.984	tr|E9PYJ6|E9PYJ6_MOUSE
sp|A2ALS5-4|RPGP1_MOUSE	A2ALS5-4	RPGP1_MOUSE	Rap1gap	665	Mus musculus		Isoform 4 of Rap1 GTPase-activating protein 1	1.0	0.999	6	17	0	17	5	4	0	5	3	0	0	0	0	0	0	0	5	4	0	5	3	0	168463.56	215031.39	0.0	200947.67	145183.1	56079.16	78062.99	95668.305	0.0	93798.5	75067.49	56079.16	sp|A2ALS5|RPGP1_MOUSE
sp|A2ALU4|SHRM2_MOUSE	A2ALU4	SHRM2_MOUSE	Shroom2	1481	Mus musculus	1:Experimental evidence at protein level	Protein Shroom2	1.0	0.999	4	9	0	9	1	4	0	4	0	0	0	0	0	0	0	0	1	4	0	4	0	0	78003.375	74638.516	0.0	177115.3	160565.86	0.0	71972.016	70180.05	0.0	58026.582	59033.824	0.0	tr|A7TU71|A7TU71_MOUSE
sp|A2AN08-3|UBR4_MOUSE	A2AN08-3	UBR4_MOUSE	Ubr4	5156	Mus musculus		Isoform 3 of E3 ubiquitin-protein ligase UBR4	1.0	0.999	66	241	0	241	43	51	2	87	54	4	0	0	0	0	0	0	43	51	2	87	54	4	3372209.2	3256584.8	108072.92	3534073.5	3244364.8	1500594.6	243246.44	225655.31	282098.0	285309.5	227541.78	284614.88	sp|A2AN08-5|UBR4_MOUSE, sp|A2AN08|UBR4_MOUSE
sp|A2APY7|NDUF5_MOUSE	A2APY7	NDUF5_MOUSE	Ndufaf5	343	Mus musculus	1:Experimental evidence at protein level	Arginine-hydroxylase NDUFAF5, mitochondrial	1.0	0.999	2	5	2	5	1	2	0	0	2	0	0	1	0	0	1	0	1	2	0	0	2	0	69504.625	56967.64	0.0	0.0	49372.72	0.0	45143.13	35355.39	0.0	0.0	31364.594	0.0	
sp|A2AQ19|RTF1_MOUSE	A2AQ19	RTF1_MOUSE	Rtf1	715	Mus musculus	1:Experimental evidence at protein level	RNA polymerase-associated protein RTF1 homolog	0.9989	0.999	2	2	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	164948.81	218375.06	0.0	184057.81	205508.05	271589.25	149437.34	218375.06	0.0	158270.28	168741.12	271589.25	
sp|A2AQ25|SKT_MOUSE	A2AQ25	SKT_MOUSE	Skt	1946	Mus musculus	1:Experimental evidence at protein level	Sickle tail protein	1.0	0.999	16	36	0	36	9	13	0	8	6	0	0	0	0	0	0	0	9	13	0	8	6	0	1021173.3	1107293.0	0.0	374611.75	1174576.1	84687.51	313022.7	306075.0	0.0	316465.78	302520.94	255602.5	tr|E9QAU4|E9QAU4_MOUSE
sp|A2AQW0|M3K15_MOUSE	A2AQW0	M3K15_MOUSE	Map3k15	1331	Mus musculus	1:Experimental evidence at protein level	Mitogen-activated protein kinase kinase kinase 15	1.0	0.999	17	62	52	62	12	15	2	19	9	5	9	13	2	17	7	4	12	15	2	19	9	5	559552.06	804486.0	305359.56	1064426.4	527240.2	507059.97	68136.67	93632.97	372817.28	145976.94	69768.9	138092.4	
sp|A2AR02|PPIG_MOUSE	A2AR02	PPIG_MOUSE	Ppig	752	Mus musculus	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase G	1.0	0.999	3	4	2	4	0	1	0	3	0	0	0	1	0	1	0	0	0	1	0	3	0	0	84911.66	68351.375	0.0	176959.28	99435.84	0.0	46770.934	37649.785	0.0	81211.81	41400.996	0.0	
sp|A2ASZ8-4|SCMC2_MOUSE	A2ASZ8-4	SCMC2_MOUSE	Slc25a25	489	Mus musculus		Isoform 4 of Mitochondrial adenyl nucleotide antiporter SLC25A25	1.0	0.999	9	16	0	16	3	2	0	6	5	0	0	0	0	0	0	0	3	2	0	6	5	0	326527.66	378812.06	0.0	184913.66	404434.2	291875.12	106602.875	123508.53	0.0	82343.86	96190.47	289171.5	sp|A2ASZ8-5|SCMC2_MOUSE
sp|A2AT37|RENT2_MOUSE	A2AT37	RENT2_MOUSE	Upf2	1269	Mus musculus	1:Experimental evidence at protein level	Regulator of nonsense transcripts 2	1.0	0.9989	2	11	11	11	3	3	0	3	2	0	3	3	0	3	2	0	3	3	0	3	2	0	61266.16	43269.867	0.0	63859.37	49862.33	0.0	35431.117	24992.367	0.0	34658.63	28792.572	0.0	
sp|A2ATU0|DHTK1_MOUSE	A2ATU0	DHTK1_MOUSE	Dhtkd1	921	Mus musculus	1:Experimental evidence at protein level	2-oxoadipate dehydrogenase complex component E1	1.0	0.999	13	24	22	24	4	6	0	9	4	1	4	5	0	9	4	0	4	6	0	9	4	1	375434.78	287222.88	0.0	285445.88	323541.84	330608.25	85050.27	94367.55	0.0	100224.01	77176.86	142849.77	
sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	1064	Mus musculus	1:Experimental evidence at protein level	Rab GTPase-activating protein 1	1.0	0.999	6	12	3	12	3	3	0	5	1	0	0	1	0	2	0	0	3	3	0	5	1	0	361301.56	102953.41	0.0	102731.76	243428.56	285947.6	110403.01	56658.934	0.0	63802.258	118567.74	158602.16	
sp|A2BDX3|MOCS3_MOUSE	A2BDX3	MOCS3_MOUSE	Mocs3	460	Mus musculus	1:Experimental evidence at protein level	Adenylyltransferase and sulfurtransferase MOCS3	1.0	0.999	3	13	13	13	4	2	0	2	4	1	4	2	0	2	4	1	4	2	0	2	4	1	1009498.25	707113.2	0.0	103759.016	305662.5	562291.5	481511.34	402049.75	0.0	458912.2	224927.03	374030.88	
sp|A2BE28-2|LAS1L_MOUSE	A2BE28-2	LAS1L_MOUSE	Las1l	759	Mus musculus		Isoform 2 of Ribosomal biogenesis protein LAS1L	1.0	0.999	5	12	0	12	2	3	0	3	4	0	0	0	0	0	0	0	2	3	0	3	4	0	131904.03	64241.56	0.0	127106.33	99930.375	39364.375	37767.703	33517.168	0.0	46047.81	37391.98	49211.59	sp|A2BE28|LAS1L_MOUSE
sp|A2BH40-3|ARI1A_MOUSE	A2BH40-3	ARI1A_MOUSE	Arid1a	2066	Mus musculus		Isoform 3 of AT-rich interactive domain-containing protein 1A	1.0	0.999	15	54	0	54	13	14	0	16	11	0	0	0	0	0	0	0	13	14	0	16	11	0	351635.94	437538.12	0.0	418492.16	340892.66	80748.91	49089.043	51778.805	0.0	59197.312	41971.46	82810.55	sp|A2BH40|ARI1A_MOUSE, tr|E9QAQ7|E9QAQ7_MOUSE
sp|A2RSJ4|BLT3B_MOUSE	A2RSJ4	BLT3B_MOUSE	Bltp3b	1457	Mus musculus	1:Experimental evidence at protein level	Bridge-like lipid transfer protein family member 3B	0.9434	0.999	1	3	3	3	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0.0	30484.352	0.0	0.0	26935.908	0.0	0.0	30484.352	0.0	0.0	26935.908	0.0	
sp|A2RSY6-2|TRM1L_MOUSE	A2RSY6-2	TRM1L_MOUSE	Trmt1l	671	Mus musculus		Isoform 2 of TRMT1-like protein	1.0	0.999	3	16	0	16	3	4	1	4	4	0	0	0	0	0	0	0	3	4	1	4	4	0	136133.34	129791.37	85467.83	113311.086	119121.75	96283.37	56371.023	56823.71	101683.69	45901.316	52674.883	55509.992	sp|A2RSY6|TRM1L_MOUSE, tr|A0A0R4J0U8|A0A0R4J0U8_MOUSE
sp|A2RT62|FXL16_MOUSE	A2RT62	FXL16_MOUSE	Fbxl16	479	Mus musculus	1:Experimental evidence at protein level	F-box/LRR-repeat protein 16	0.9434	0.999	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	24507.723	0.0	25091.064	0.0	0.0	0.0	24507.723	0.0	25091.064	0.0	0.0	
sp|A3KGB4|TBC8B_MOUSE	A3KGB4	TBC8B_MOUSE	Tbc1d8b	1114	Mus musculus	1:Experimental evidence at protein level	TBC1 domain family member 8B	1.0	0.999	15	51	51	56	12	13	0	14	12	0	12	13	0	14	12	0	14	14	2	14	12	0	547084.5	566576.5	0.0	453324.8	578754.5	81340.15	79086.72	86553.38	0.0	96119.07	81864.06	81340.15	
sp|A3KGS3-2|RGPA2_MOUSE	A3KGS3-2	RGPA2_MOUSE	Ralgapa2	1807	Mus musculus		Isoform 2 of Ral GTPase-activating protein subunit alpha-2	1.0	0.9988	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	19654.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A3KGS3|RGPA2_MOUSE, tr|A0A0A0MQD7|A0A0A0MQD7_MOUSE, tr|A0A2I3BPN8|A0A2I3BPN8_MOUSE
sp|A3KGV1-2|ODFP2_MOUSE	A3KGV1-2	ODFP2_MOUSE	Odf2	806	Mus musculus		Isoform 2 of Outer dense fiber protein 2	0.8969	0.9981	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	14192.819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A3KGV1-3|ODFP2_MOUSE, sp|A3KGV1-4|ODFP2_MOUSE, sp|A3KGV1|ODFP2_MOUSE
sp|A3KMP2|TTC38_MOUSE	A3KMP2	TTC38_MOUSE	Ttc38	465	Mus musculus	1:Experimental evidence at protein level	Tetratricopeptide repeat protein 38	1.0	0.999	9	42	9	42	11	11	1	5	11	3	2	2	0	1	3	1	11	11	1	5	11	3	750539.2	729380.06	101273.914	254383.6	750007.1	665718.8	126638.95	97923.35	142165.2	111400.98	106953.3	123258.15	
sp|A6H584|CO6A5_MOUSE	A6H584	CO6A5_MOUSE	Col6a5	2640	Mus musculus	1:Experimental evidence at protein level	Collagen alpha-5(VI) chain	0.9998	0.999	2	3	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0.0	0.0	0.0	33280.86	54835.992	0.0	0.0	0.0	0.0	33280.86	54835.992	0.0	tr|A0A140T8T7|A0A140T8T7_MOUSE, tr|A0A140T8W1|A0A140T8W1_MOUSE
sp|A6H5Z3|EXC6B_MOUSE	A6H5Z3	EXC6B_MOUSE	Exoc6b	810	Mus musculus	1:Experimental evidence at protein level	Exocyst complex component 6B	1.0	0.999	3	11	7	11	3	3	0	2	3	0	3	1	0	1	2	0	3	3	0	2	3	0	94113.89	128697.07	0.0	119465.33	146769.25	0.0	61007.098	68251.74	0.0	81541.4	78953.13	0.0	
sp|A6H611|MIPEP_MOUSE	A6H611	MIPEP_MOUSE	Mipep	711	Mus musculus	1:Experimental evidence at protein level	Mitochondrial intermediate peptidase	1.0	0.9988	3	3	1	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	199429.08	173028.36	0.0	153816.06	98972.97	0.0	159537.16	106382.97	0.0	153816.06	69473.43	0.0	
sp|A6H6E2|MMRN2_MOUSE	A6H6E2	MMRN2_MOUSE	Mmrn2	943	Mus musculus	1:Experimental evidence at protein level	Multimerin-2	1.0	0.999	10	28	18	28	3	5	0	11	9	0	1	4	0	6	7	0	3	5	0	11	9	0	308683.03	332886.12	0.0	336199.25	395707.38	104097.47	60945.78	73982.85	0.0	51737.438	65971.05	79933.95	
sp|A6H8H2-2|DEN4C_MOUSE	A6H8H2-2	DEN4C_MOUSE	Dennd4c	1955	Mus musculus		Isoform 2 of DENN domain-containing protein 4C	1.0	0.999	33	106	0	106	27	24	1	24	29	1	0	0	0	0	0	0	27	24	1	24	29	1	1.1200163E7	1273368.0	55571.46	1194315.9	1464776.0	1238950.6	326858.66	282855.6	377266.9	324395.53	324636.56	366550.84	sp|A6H8H2|DEN4C_MOUSE
sp|A8C756|THADA_MOUSE	A8C756	THADA_MOUSE	Thada	1938	Mus musculus	1:Experimental evidence at protein level	Thyroid adenoma-associated protein homolog	0.9999	0.9955	2	5	1	5	0	1	0	1	3	0	0	0	0	0	1	0	0	1	0	1	3	0	0.0	9806.481	0.0	18062.148	17738.99	0.0	0.0	9806.481	0.0	18062.148	12286.165	0.0	
sp|A8Y5H7-2|S14L1_MOUSE	A8Y5H7-2	S14L1_MOUSE	Sec14l1	716	Mus musculus		Isoform 2 of SEC14-like protein 1	0.9434	0.999	1	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	30132.275	23862.207	0.0	0.0	34088.33	0.0	30132.275	23862.207	0.0	0.0	34088.33	0.0	sp|A8Y5H7-3|S14L1_MOUSE, sp|A8Y5H7|S14L1_MOUSE
sp|A9JSM3|TM238_MOUSE	A9JSM3	TM238_MOUSE	Tmem238	176	Mus musculus	2:Experimental evidence at transcript level	Transmembrane protein 238	1.0	0.999	2	7	4	7	3	2	0	0	2	0	2	1	0	0	1	0	3	2	0	0	2	0	109883.14	101466.03	0.0	27349.926	110096.94	0.0	56935.684	59910.574	0.0	46488.34	62931.89	0.0	
sp|B1AUH1-2|PTPRU_MOUSE	B1AUH1-2	PTPRU_MOUSE	Ptpru	1436	Mus musculus		Isoform 2 of Receptor-type tyrosine-protein phosphatase U	1.0	0.9987	2	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	38164.484	0.0	0.0	0.0	2250.9414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|B1AUH1|PTPRU_MOUSE, tr|Q3V360|Q3V360_MOUSE
sp|B1AVZ0|UPP_MOUSE	B1AVZ0	UPP_MOUSE	Uprt	310	Mus musculus	1:Experimental evidence at protein level	Uracil phosphoribosyltransferase homolog	0.9963	0.9989	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	23655.729	26006.52	0.0	0.0	19626.385	0.0	23655.729	26006.52	0.0	0.0	19626.385	0.0	
